Escuela_DE,I_02,I_36,I_710,I_1114,I_06,I_714,I_314,Cob_est,Public + social secutity,pob,vincNBI,preciom2,Dist_CESAC,NEAR_FID,POINT_X,POINT_Y,DE,COMUNA,BARRIO
8_1,29.2,27.8,22,21.1,57,43.1,70.8,65.6,34.4,29545,13.05357143,3430.695444,2107.436619,10,107139.1178,103161.4404,1,1,SAN NICOLAS
8_10,37.6,33.7,15.8,12.9,71.3,28.7,62.4,49.5,50.5,96791,0.983050847,2682.875161,3469.906739,22,101883.4621,108518.5396,10,13,BELGRANO
8_11,20.7,29.8,25.6,24,50.5,49.6,79.3,71.9,28.1,35785,0.62962963,1569.259968,2035.750359,24,99978.1264,99496.8243,11,7,FLORES
8_12,33.7,35.9,12,18.5,69.6,30.4,66.3,60.9,39.1,46214,0.404255319,1647.386151,1024.239179,29,98394.2472,101516.845,12,11,VILLA SANTA RITA
8_13,10.4,25,26.9,37.7,35.4,64.6,89.6,85.4,14.6,56917,1.638888889,3235.785951,189.5149306,25,98859.8544,96686.5927,13,9,PARQUE AVELLANEDA
8_14,19.7,42.6,27.9,9.8,62.3,37.7,80.3,62.3,37.7,65030,1.666666667,3479.476508,1335.638975,8,100826.3005,104101.6842,14,15,CHACARITA
8_15,35.4,37.7,16.2,10.8,73.1,26.9,64.6,43.1,56.9,71042,2.344827586,2214.511519,843.5667601,22,98459.4315,105939.7419,15,12,VILLA URQUIZA
8_16,29.6,32.1,23.5,14.8,61.7,38.3,70.4,60.5,39.5,21864,2.703703704,2718.8734,2069.995959,23,94871.4305,103977.9371,16,11,VILLA DEVOTO
8_17,34.4,34.4,23,8.2,68.8,31.1,65.6,37.7,62.3,56602,1.763888889,2644.406893,2369.568153,29,96339.3613,103122.8949,17,11,VILLA DEL PARQUE
8_18,25.9,36.2,18.9,18.9,62.1,37.8,74.1,51.4,48.6,58697,1.575342466,2246.490915,1619.238665,17,96986.1842,99256.9554,18,10,VILLA LURO
